"NUMERO","TITULO","AUTOR","TEMA","EDITORIAL","COMENTARIO"
"336","El palacio de los sueños","Ismail Kadare","Novela","Circulo","2004-P"
"339","Canto castrato","Cesar Aira","Novela","Circulo","2005"
"340","El sueño de Escipion","Iain Pears","Novela","Circulo","2004-P"
"341","Apasionada","Virginia Henley","Romantica","Circulo","2006"
"342","La cuarta mano","John Irving","Novela","Circulo","2002, 2004-P"
"343","Duelo de pasiones","Christina Dodd","Romantica","Circulo","2005"
"344","Perdon imposible","Jose Antonio Millan","Divulgacion","Circulo","2005"
"346","La dama del antifaz","Jo Beverley","Romantica","Circulo","2002"
"347","Novia accidental","Jane Feather","Romantica","Circulo","2005"
"348","Miau/ Misericordia/ Doña Perfecta","Benito Perez Galdos","Novela","Edimat Libros","2004-P"
"349","Esclava de amor","Virginia Henley","Romantica","Circulo","2006"
"353","Las siete iglesias","Milos Urban","Novela","Circulo","2006"
"354","Un beso tuyo","Christina Dodd","Romantica","Circulo","2006"
"355","Mi adorable bribona","Johanna Lindsey","Romantica","Circulo","2005"
"356","Escandaloso","Karen Robards","Romantica","Circulo","2005"
"357","El reino del dragon de oro","Isabel Allende","Novela","Circulo","2006"
"358","Una imagen en el espejo","Danielle Steel","Romantica","Circulo","2000"
"359","Un año y un dia","Virginia Henley","Romantica","Circulo","2002"
"361","El lenguaje del cuerpo","Alan Pease","Divulgacion","Biblioteca practica de la vida actual","Leida"
"363","Solo para un caballero","Sue-Ellen Welfonder","Romantica","Circulo","2007"
"364","Nieve","Orhan Pamuk","Novela","Circulo","2006"
"365","El estigma del arrecife","Nora Roberts","Romantica","Circulo","2004"
"366","¿Qué me quieres amor?","Manuel Rivas","Cuentos","Circulo",""
"367","El libro del saber estar","Camilo Lopez","Divulgacion","Circulo","1995"
"368","El otoño del patriarca","Gabriel Garcia Marquez","Novela","Bruguera","2003-P"
"370","La isla de las tormentas","Ken Follett","VENDIDO","",""
"371","La montaña del alma","Gao Xingjian","Novela","booket","2003-P. Premio Nobel 2000"
"372","El hereje","Miguel Delibes","Novela","booket","2003-P. Premio Nacional de Narrativa 1999"
"373","El prisionero de Spandau","Greg Iles","Novela","booket","2003-P"
"374","El ultimo judio","Noah Gordon","Novela","Ediciones B, SA","2003-P"
"375","La milla verde","Stephen King","VENDIDO","",""
"376","The Body (El cuerpo)","Richard Ben Sapir","VENDIDO","",""
"377","La peste","Albert Camus","Novela","pocket edhasa","2003-P"
"378","La montaña magica","Thomas Mann","Novela psicologica","pocket edhasa","2003-P (Nobel de literatura en 1929 por su trayect"
"379","La boda del poeta","Antonio Skarmeta","Novela","DeBolsillo","2003-P"
"380","Un mundo para Julius","Alfredo Bryce Echenique","Novela","DeBolsillo","2004-P"
"381","El mozarabe","Jesus Sanchez Adalid","Novela","Ediciones B","2004-P"
